序号,分部名称,子分部名称,分项名称,默认验收批次,指标名称,整改建议,问题级别,整改天数
474,外立面阶段,栏杆、扶手、百叶,栏杆扶手百叶,,表面磕碰、划伤、成品保护不到位,,,0
475,园林景观,景观工程,园建,,回填土沉降、滑移,,,0
476,园林景观,景观工程,园建,,道路沉降、开裂,,,0
477,园林景观,景观工程,园建,,铺装缝隙不匀、平整度差,,,0
478,园林景观,景观工程,园建,,曲线铺贴过度生硬、效果差,,,0
479,园林景观,景观工程,园建,,砖、石材铺贴下陷、松动、破损,,,0
480,园林景观,景观工程,园建,,不同材质交界处收口粗糙,,,0
481,园林景观,景观工程,园建,,园建绿化分界不到位、污染路面,,,0
482,园林景观,景观工程,园建,,道路找坡方向错误、出现积水,,,0
483,园林景观,景观工程,园建,,排水井、雨水口堵塞,,,0
484,园林景观,景观工程,园建,,雨水口篦子松动、异响,,,0
485,园林景观,景观工程,绿化,,苗木枯萎、死亡,,,0
486,园林景观,景观工程,绿化,,种植土质量不合格、含杂质、石块,,,0
487,园林景观,景观工程,绿化,,微地形堆土后沉降,,,0
488,园林景观,景观工程,绿化,,树形、胸径、冠幅不符合设计要求,,,0
489,园林景观,景观工程,绿化,,乔木、灌木过度修剪,,,0
490,园林景观,景观工程,绿化,,灌木、草坪密度不佳、露土,,,0
491,园林景观,景观工程,绿化,,苗木缺少水分、肥料、养护不到位,,,0
492,园林景观,设施设备,照明,,灯具基础不牢固、松动,,,0
493,园林景观,设施设备,照明,,灯具基础外露,,,0
494,园林景观,设施设备,照明,,底座固定螺栓外露锈蚀,,,0
495,园林景观,设施设备,照明,,控制线路连接混乱、标识不清,,,0
496,园林景观,设施设备,照明,,金属外壳未接地,,,0
497,园林景观,设施设备,照明,,线路无漏电保护或不恰当,,,0
498,园林景观,设施设备,照明,,线路短路、灯具不亮,,,0
499,园林景观,设施设备,照明,,成品保护不到位,,,0
500,园林景观,设施设备,部品、标牌,,标牌损坏、脱落、遗失,,,0
501,园林景观,设施设备,部品、标牌,,部品与基础安装不牢固,,,0
502,园林景观,设施设备,部品、标牌,,底部与基础面层交接部位收口粗糙,,,0
503,园林景观,设施设备,部品、标牌,,部位存在明显磕碰、划痕、掉色等破坏,,,0
504,园林景观,设施设备,部品、标牌,,焊接部位焊缝不饱满、未做防锈处理,,,0
505,园林景观,设施设备,部品、标牌,,小品上光照明接线错误，不能正常使用,,,0
506,园林景观,设施设备,部品、标牌,,成品保护不到位、出现破坏,,,0
507,土护降阶段,土方工程,土方开挖,室外,开挖超标高、未留人工清理层,,,0
508,土护降阶段,土方工程,土方开挖,室外,未分层、分段开挖,,,0
509,土护降阶段,土方工程,土方开挖,室外,放坡不符合图纸要求,,,0
510,土护降阶段,土方工程,土方开挖,室外,回填前基坑淤泥、杂物等未清理完毕,,,0
511,土护降阶段,土方工程,土方开挖,室外,回填土质量不合格,,,0
512,土护降阶段,土方工程,土方开挖,室外,回填土未分层碾压、压实度不达标,,,0
513,土护降阶段,土方工程,土方回填,室外,回填前基坑淤泥、杂物等未清理完毕,,,0
514,土护降阶段,土方工程,土方回填,室外,回填土质量不合格,,,0
515,土护降阶段,土方工程,土方回填,室外,回填土未分层碾压、压实度不达标,,,0
516,土护降阶段,支护工程,边坡喷锚,室外,喷锚厚度不符合要求,,,0
517,土护降阶段,支护工程,边坡喷锚,室外,喷锚混凝土未留置试块,,,0
518,土护降阶段,支护工程,边坡喷锚,室外,土钉或锚杆的长度、间距不符合要求,,,0
519,土护降阶段,支护工程,边坡喷锚,室外,注浆未留设试块,,,0
520,土护降阶段,支护工程,边坡喷锚,室外,坡顶或坡底未设置排水沟,,,0
521,土护降阶段,基础工程,桩基,室外,桩身钢筋笼未按图纸施工或焊接、绑扎不规范,,,0
522,土护降阶段,基础工程,桩基,室外,桩位偏移,,,0
523,土护降阶段,基础工程,桩基,室外,破桩头后桩头标高不统一,,,0
524,土护降阶段,基础工程,桩基,室外,预制桩接桩、压桩终值或贯入度未达到规范或设计要求,,,0
525,土护降阶段,基础工程,换填,室外,换填深度、铺填厚度不符合要求,,,0
526,土护降阶段,基础工程,换填,室外,换填材料配比不符合要求,,,0
527,土护降阶段,基础工程,换填,室外,换填后压实度未达到要求,,,0
